AirportCode,WeatherDate,Snow,Rain,Fog,Storm,Precipitation,Hail,Light,Moderate,Heavy,Severe,UNK,Other,AM/PM
DFW,2018-12-27,0,1,0,0,0,0,0,1,0,0,0,0,0
DFW,2018-12-27,0,1,0,0,0,0,0,0,1,0,0,0,0
DFW,2018-12-27,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2018-12-27,0,0,1,0,0,0,0,0,0,1,0,0,0
DFW,2018-12-27,0,1,0,0,0,0,0,0,1,0,0,0,0
DFW,2018-12-27,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2018-12-27,0,1,0,0,0,0,0,1,0,0,0,0,0
DFW,2018-12-27,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2018-12-27,0,1,0,0,0,0,0,1,0,0,0,0,0
DFW,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2018-12-31,0,1,0,0,0,0,0,1,0,0,0,0,0
DFW,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2018-12-31,0,1,0,0,0,0,0,1,0,0,0,0,0
DFW,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,0
LAX,2018-12-25,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-27,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,0,0,1,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,0,0,1,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,0,0,1,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,0
ATL,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,0,0,1,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,0,0,1,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2018-12-29,0,0,1,0,0,0,0,1,0,0,0,0,0
ATL,2018-12-29,0,0,1,0,0,0,0,1,0,0,0,0,0
ATL,2018-12-29,0,0,1,0,0,0,0,1,0,0,0,0,0
ATL,2018-12-29,0,0,1,0,0,0,0,0,0,1,0,0,1
ATL,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,0
ATL,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,0
ATL,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,0
ATL,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,1
ATL,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-25,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-26,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-26,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-27,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-27,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,1
SEA,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-29,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-12-29,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-29,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-29,0,1,0,0,0,0,0,1,0,0,0,0,1
SEA,2018-12-29,0,1,0,0,0,0,1,0,0,0,0,0,1
SEA,2018-12-29,0,1,0,0,0,0,0,1,0,0,0,0,1
SEA,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-12-30,0,1,0,0,0,0,0,1,0,0,0,0,0
SEA,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
SEA,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,1
SEA,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,1
SEA,2018-12-31,0,0,1,0,0,0,0,1,0,0,0,0,1
SFO,2018-12-25,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,0
CLT,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2018-12-28,0,0,1,0,0,0,0,0,0,1,0,0,1
CLT,2018-12-28,0,1,0,0,0,0,0,1,0,0,0,0,1
CLT,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2018-12-28,0,0,1,0,0,0,0,0,0,1,0,0,1
CLT,2018-12-28,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2018-12-29,0,0,1,0,0,0,0,0,0,1,0,0,0
CLT,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,0
CLT,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,0
CLT,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,0
CLT,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,0
CLT,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,1
CLT,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,1
CLT,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,1
